SPO/RRA,Sponsor/Party,Principal Investigator,Title,Department,Agreement #,Agreement Type,Project Start Date,Project End Date,Requested/Awarded,Funded,Project Status
531641,"Shell International Exploration and Production, Inc.",Biondo Biondi,Data analysis and processing of low-frequency source seismic data from Shell,Geophysics,,Data Use Agreement,12/16/2024,12/15/2029,,,Approved
524915,"TotalEnergies American Services, Inc.",,Master Research Agreement,,CRD18-045,Master Agreement,04/01/2018,03/31/2023,,,Approved
524051,"TotalEnergies American Services, Inc.",,Master Research Agreement (SEA),Precourt Institute for Energy,,Master Agreement,04/01/2018,03/31/2023,,,Approved
519085,"Shell International Exploration and Production, Inc.",Hamdi Tchelepi,"IC2021-1578-relevant subsurface variables describing and governing the emplacement, migration and associated transformation of fluids in the subsurface",Energy Science & Engineering,CW541483,Data Use Agreement,12/31/2023,12/31/2024,,,Approved
346141,ExxonMobil,Meagan Mauter,Screening Alternative Water Sources to Secure American Water Supplies,Civil and Environmental Engineering,LAW-2024-0925 (EM11163.TO34),Contract,10/01/2024,09/30/2025,"$166,650","$166,650",Awarded
345366,TotalEnergies SE,Ronald Hanson,Statement of Work: Oxidation and NOx Formation Studies of Novel Sustainable Aviation Fuels (SAF),Mechanical Engineering,40OTINRD-06775-01,Contract,10/01/2024,09/30/2025,"$214,500","$214,500",Awarded
343511,ExxonMobil,Tiziana Vanorio,Accelerating Carbon Mineralization in Basalt Rocks-A Reactive Transport Approach,Department of Earth and Planetary Sciences,LAW-2024-0554 (EM11163.TO31),Contract,08/01/2024,07/31/2027,"$1,884,874","$1,884,874",Awarded
339144,ExxonMobil,Yi Cui,Solutions at Scale,Precourt Institute for Energy,LAW-2024-0308 (EM11163.TO28),Contract,09/01/2023,08/31/2024,"$71,000","$62,803",Awarded
337817,ExxonMobil,Matthias Ihme,Advanced Combustion Technologies and Simulation Tools for Enabling Ultra-low Emission Combustion of NH3 for Process Heating at Scale,Mechanical Engineering,LAW-2024-0310,Contract,08/01/2024,07/31/2027,"$1,650,000","$1,650,000",Awarded
337796,ExxonMobil Research and Engineering Company,Anthony Kovscek,Physical Models for Demonstration of Geological CO2 Storage Dynamics,Department of Energy Science and Engineering,LAW-2024-0309.TO29,Contract,06/01/2024,05/31/2026,"$881,304","$881,304",Awarded
318200,TotalEnergies SE,Thomas Jaramillo,ODIN: Ocean De-acidification via Ion Navigation,Chemical Engineering,318200,Contract,03/01/2024,08/31/2025,"$320,000","$320,000",Awarded
302561,Shell Global Solutions Inc.,Jonathan Fan,Decarbonizing hydrogen production with inductively heated methane pyrolysis reactors,Edward L. Ginzton Laboratory,CW783871,Contract,07/01/2023,06/30/2024,"$275,000","$250,000",Awarded
288317,"TotalEnergies American Services, Inc.",Ronald Hanson,Shock Tube Experiments to Characterize Low-Temperature Ignition of High-Performance Gasolines,Mechanical Engineering,40OTPFCP-05038-05,Contract,12/01/2022,12/29/2023,"$165,000","$150,000",Awarded
287082,ExxonMobil,William Tarpeh,Evaluation of Technologies for Extraction of Lithium from Brine,Chemical Engineering,LAW-2022-0906 (EM11163.TO23),Contract,01/03/2023,07/31/2024,"$294,174","$267,431",Awarded
284886,"Shell International Exploration and Production, Inc.",Michael Lepech,Developing Lignin-based Building Materials to Accelerate Sustainability Progress in the Construction Sector,Civil and Environmental Engineering,CW709853,Contract,11/01/2022,04/30/2025,"$274,872","$249,884",Awarded
280454,OMV Exploration & Production GmbH,Jef Caers,CREATING VALUE IN THE ENERGY TRANSITION THROUGH ARTIFICIAL INTELLIGENCE,Department of Earth and Planetary Sciences,Receipt 09012022Wire,Contract,10/01/2022,09/30/2028,"$3,900,000","$1,949,996",Awarded
